"mon_feature_id","date_time","sample_begin_depth","institution_abbr","preservative_abbr","Ca_Diss_Water","Cl_Diss_Water","DMS_Tot_Water","EC_Phys_Water","F_Diss_Water","K_Diss_Water","Mg_Diss_Water","Na_Diss_Water","NH4_N_Diss_Water","NO3_NO2_N_Diss_Water","P_Tot_Water","pH_Diss_Water","PO4_P_Diss_Water","Si_Diss_Water","SO4_Diss_Water","TAL_Diss_Water","Station","Qat"
101975,1968-06-08 14:45:00,0,"DWS-RQIS","NONE",8,39,,18.9,,,5,23,,0.02,,6.6,,,14,19.7,"G2H015Q01","G22H"
101975,1968-06-17 19:30:00,0,"DWS-RQIS","NONE",10,57,,27.2,,,6,37,,0.02,,6.5,,,19,30.3,"G2H015Q01","G22H"
101975,1970-07-21 12:55:00,0,"DWS-RQIS","NONE",10,65,,19.4,,,5,30,,0.02,,7.4,,,2,19.7,"G2H015Q01","G22H"
101975,1972-06-06 13:15:00,0,"DWS-RQIS","NONE",7.8,65.6,,28.5,0.05,6.61,4.3,38.1,,0.11,,8.22,0.007,,14.7,21.7,"G2H015Q01","G22H"
101975,1972-09-12 14:30:00,0,"DWS-RQIS","NONE",4.4,24.4,,14.5,0.05,1.81,2.3,17.6,,0.39,,7.49,0.014,,8,17.5,"G2H015Q01","G22H"
101975,1973-10-11 12:30:00,0,"DWS-RQIS","NONE",8.1,38.4,,35,0.05,3.37,4.3,24.7,,0.97,,7.4,0.14,,6.6,27.6,"G2H015Q01","G22H"
101975,1974-12-13 13:30:00,0,"DWS-RQIS","NONE",11,108.8,,30,0.17,5.63,11.7,61.5,,0.79,,8.1,0.183,,22.2,35.9,"G2H015Q01","G22H"
101975,1974-12-17 14:45:00,0,"DWS-RQIS","NONE",13.5,131.5,,55,0.18,7.31,11.1,72.6,,0.02,,7.21,0.068,,26,42.4,"G2H015Q01","G22H"
101975,1978-01-24 13:25:00,0,"DWS-RQIS","NONE",19,183,450,83.2,0.39,10.56,17,110,0.02,0.02,,7,0.014,2.27,31,64.8,"G2H015Q01","G22H"
101975,1978-01-31 13:00:00,0,"DWS-RQIS","NONE",15,136,346,61.5,0.2,7.83,12,78,1.34,0.02,,6.4,0.025,4.41,4,74.6,"G2H015Q01","G22H"
101975,1978-02-07 10:00:00,0,"DWS-RQIS","NONE",18.1,164.5,414,75.5,0.33,11.44,15.9,89.2,0.05,0.02,,6.83,0.072,2.47,28.9,69.6,"G2H015Q01","G22H"
101975,1978-02-14 11:10:00,0,"DWS-RQIS","NONE",21.6,200.4,506,89.5,0.2,12.13,19.5,119.7,0.08,0.02,,7.53,0.068,2.19,38.3,76.6,"G2H015Q01","G22H"
101975,1978-02-21 15:00:00,0,"DWS-RQIS","NONE",15,132,350,64,0.39,10.39,12.9,74.2,0.04,0.36,,7.1,0.298,3.21,24.2,64.5,"G2H015Q01","G22H"
101975,1978-02-28 16:05:00,0,"DWS-RQIS","NONE",30.7,219.6,612,104.7,0.35,11.19,25.5,131.4,0.05,0.07,,7.12,0.043,4.75,41.6,124.3,"G2H015Q01","G22H"
101975,1978-03-07 13:35:00,0,"DWS-RQIS","NONE",17.6,155.4,385,71.5,0.53,9.71,14.5,87.5,0.6,0.02,,6.9,0.248,2.48,19.5,64.5,"G2H015Q01","G22H"
101975,1978-03-14 14:10:00,0,"DWS-RQIS","NONE",14.2,102.8,297,51.2,0.38,11.19,9.5,61.5,0.39,0.98,,6.9,0.959,3.5,12.1,63.2,"G2H015Q01","G22H"
101975,1978-03-21 12:08:00,0,"DWS-RQIS","NONE",15.8,144.9,386,72.7,0.41,13.01,14.9,87.3,0.12,0.45,,7,0.424,4.12,23.2,67.9,"G2H015Q01","G22H"
101975,1978-04-04 11:45:00,0,"DWS-RQIS","NONE",7.4,48.6,146,26.8,0.05,6.74,4.6,30.4,0.11,0.51,,7,0.499,5.35,5.4,31.5,"G2H015Q01","G22H"
101975,1978-04-18 12:25:00,0,"DWS-RQIS","NONE",9.9,67.1,187,28.1,0.38,7.46,8.2,38.1,0.11,1.18,,6.7,0.406,6.43,12.1,30.2,"G2H015Q01","G22H"
101975,1978-04-25 12:07:00,0,"DWS-RQIS","NONE",12.3,88.1,240,43.8,0.19,8.49,9.9,48.9,0.12,1.25,,6.8,0.435,6.84,15.1,40.6,"G2H015Q01","G22H"
101975,1978-05-02 12:45:00,0,"DWS-RQIS","NONE",,,,38,,,,,,,,,,,,,"G2H015Q01","G22H"
101975,1978-05-09 12:35:00,0,"DWS-RQIS","NONE",11,73.6,219,37.2,0.21,7.35,8.5,43.4,0.39,1.26,,6.81,0.463,5.55,9.8,47.6,"G2H015Q01","G22H"
101975,1978-05-16 12:25:00,0,"DWS-RQIS","NONE",11.5,78.8,232,40.1,0.25,7.46,9.1,46.5,0.02,1.35,,6.85,0.366,6.9,7.9,52,"G2H015Q01","G22H"
101975,1978-05-23 15:35:00,0,"DWS-RQIS","NONE",9.2,34.5,110,20.5,0.05,4.16,4.7,18.7,0.05,0.62,,6.61,0.219,3.93,2,27.1,"G2H015Q01","G22H"
101975,1978-06-06 17:25:00,0,"DWS-RQIS","NONE",10.2,73.8,216,37.5,0.14,7.74,8.3,44.9,0.09,1.97,,6.6,0.449,6.97,10.4,41,"G2H015Q01","G22H"
101975,1978-06-13 16:15:00,0,"DWS-RQIS","NONE",10.1,71.6,208,38.8,0.05,8.27,7.5,45,0.1,2.86,,6.49,0.7,7.24,10.1,32.8,"G2H015Q01","G22H"
101975,1978-06-20 15:55:00,0,"DWS-RQIS","NONE",,,,21,,,,,,,,,,,,,"G2H015Q01","G22H"
101975,1978-06-27 15:30:00,0,"DWS-RQIS","NONE",11.1,79.2,223,39,0.05,7.8,8.3,45.4,0.11,2.05,,6.78,0.392,6.28,10.1,41.3,"G2H015Q01","G22H"
101975,1978-07-04 15:15:00,0,"DWS-RQIS","NONE",10.7,83.1,221,41,0.14,7.69,9.2,49.3,0.09,1.91,,6.7,0.438,6.89,9.9,33.8,"G2H015Q01","G22H"
101975,1978-07-11 16:00:00,0,"DWS-RQIS","NONE",11.8,99.9,268,49.3,0.17,10.62,10.4,59.8,0.05,2.21,,6.81,0.503,6.76,14.2,40.4,"G2H015Q01","G22H"
101975,1978-07-18 20:25:00,0,"DWS-RQIS","NONE",4.1,23,72,13,0.19,1.79,3.2,14.8,0.02,0.28,,6.64,0.003,5.37,7.3,13.2,"G2H015Q01","G22H"
101975,1978-07-25 15:05:00,0,"DWS-RQIS","NONE",4,19.3,58,11.4,0.05,2.78,2.2,11.9,0.09,0.48,,6.3,0.154,2,2,11.1,"G2H015Q01","G22H"
101975,1978-08-01 17:18:00,0,"DWS-RQIS","NONE",10.5,71.2,214,37.2,0.05,9.11,7.5,42.3,0.11,2.21,,6.5,0.295,5.94,7,45.8,"G2H015Q01","G22H"
101975,1978-08-08 15:55:00,0,"DWS-RQIS","NONE",7.7,33.3,107,28,0.15,5.22,4.1,20.1,0.38,1.08,,6.49,0.223,3.13,5.4,20.2,"G2H015Q01","G22H"
101975,1978-08-15 15:00:00,0,"DWS-RQIS","NONE",6.7,57,171,28,0.87,8.14,3.8,40.8,0.36,2.13,,7.2,0.014,0.2,12.3,26.2,"G2H015Q01","G22H"
101975,1978-08-22 14:45:00,0,"DWS-RQIS","NONE",5.1,38,100,18,0.22,4.27,3.6,19.1,0.07,0.9,,6.31,0.18,2.49,7.9,14.4,"G2H015Q01","G22H"
101975,1978-08-29 17:35:00,0,"DWS-RQIS","NONE",5.8,32.7,114,27,0.79,4.65,3.7,23.6,0.05,0.82,,6.3,0.19,2.74,7.1,25.4,"G2H015Q01","G22H"
101975,1978-09-05 16:30:00,0,"DWS-RQIS","NONE",7.4,37.6,118,28,0.11,4.8,4.3,23.7,0.06,1.57,,6.31,0.194,4.13,10.2,18.4,"G2H015Q01","G22H"
101975,1978-09-12 15:50:00,0,"DWS-RQIS","NONE",6.4,32.7,101,18,0.2,4.03,3.7,20.1,0.06,0.45,,6.12,0.065,2.83,8,19.4,"G2H015Q01","G22H"
101975,1978-09-19 17:55:00,0,"DWS-RQIS","NONE",7.1,45,135,25,0.28,3.65,5.4,27.1,0.02,1.37,,6.55,0.28,4.15,9.7,24.4,"G2H015Q01","G22H"
101975,1978-09-26 16:05:00,0,"DWS-RQIS","NONE",7.7,47,140,26.4,0.21,5.08,5.1,27.2,0.02,1.4,,6.59,0.327,4.13,9.3,25.8,"G2H015Q01","G22H"
101975,1978-10-03 15:55:00,0,"DWS-RQIS","NONE",3.7,34.4,95,17.4,0.05,2.72,4.3,19.4,0.13,0.27,,7.06,0.047,3.33,2,20.6,"G2H015Q01","G22H"
101975,1978-10-10 14:50:00,0,"DWS-RQIS","NONE",4.1,38,103,29.5,0.14,3.89,4.1,21.8,0.09,1.13,,6.19,0.226,4.07,2,19.8,"G2H015Q01","G22H"
101975,1978-10-17 17:45:00,0,"DWS-RQIS","NONE",6.7,46.2,134,24.6,0.05,5.42,4.7,27.5,0.05,1.41,,6.6,0.42,3.92,9.2,21.8,"G2H015Q01","G22H"
101975,1978-10-24 12:30:00,0,"DWS-RQIS","NONE",4.3,27.8,87,15.2,0.21,2.87,3.6,17.8,0.08,0.28,,6.94,0.14,0.93,8.5,16.2,"G2H015Q01","G22H"
101975,1978-10-31 13:05:00,0,"DWS-RQIS","NONE",8.1,54.7,161,29.4,0.27,5.26,6.3,33.7,0.08,1.43,,7.6,0.359,5.01,11.1,27.6,"G2H015Q01","G22H"
101975,1978-11-07 13:30:00,0,"DWS-RQIS","NONE",6.5,41.8,129,29.3,0.19,4.35,4.8,27.2,0.05,1.27,,6.35,0.345,4.33,9.8,22.8,"G2H015Q01","G22H"
101975,1978-11-14 12:00:00,0,"DWS-RQIS","NONE",6.5,41.4,136,30.1,0.21,5.1,4.9,27.7,0.04,1.66,,6.41,0.435,4.89,13.5,23,"G2H015Q01","G22H"
101975,1978-11-21 14:00:00,0,"DWS-RQIS","NONE",8.3,57.9,171,31.7,0.11,5.85,6.5,36.6,0.09,1.28,,6.61,0.42,4.98,14.1,28.5,"G2H015Q01","G22H"
101975,1978-12-05 13:00:00,0,"DWS-RQIS","NONE",20.8,201.6,473,90.5,0.24,10.64,19.3,113.2,0.02,0.08,,7,0.011,3.38,29.8,63.2,"G2H015Q01","G22H"
101975,1978-12-12 13:00:00,0,"DWS-RQIS","NONE",24.5,272.7,602,115,0.33,11.37,25,147.5,0.02,0.07,,7.14,0.068,3.91,38.4,66.8,"G2H015Q01","G22H"
101975,1978-12-19 13:05:00,0,"DWS-RQIS","NONE",8.1,52.6,140,29.9,0.18,3.8,6,30.3,0.02,0.2,,6.6,0.223,2.42,7.5,24.9,"G2H015Q01","G22H"
101975,1978-12-26 11:40:00,0,"DWS-RQIS","NONE",14.5,127.7,300,78.7,0.28,5.91,12.7,72,0.02,0.08,,6.8,0.122,2.07,17.9,39.2,"G2H015Q01","G22H"
101975,1979-04-17 18:00:00,0,"DWS-RQIS","NONE",9,64.1,182,32.2,0.3,7.55,5.9,36.9,0.02,0.7,,6.7,0.621,6.07,8.5,36.7,"G2H015Q01","G22H"
101975,1979-04-24 18:15:00,0,"DWS-RQIS","NONE",19.5,161.5,422,73.3,0.16,12.68,14.7,95.6,0.02,1.43,,7.7,0.55,7.01,27.8,67.6,"G2H015Q01","G22H"
101975,1979-05-01 17:08:00,0,"DWS-RQIS","NONE",16.2,127,397,64.2,0.31,20.95,12,82.4,0.02,3.97,,6.94,2.401,7.17,23.7,73.7,"G2H015Q01","G22H"
101975,1979-05-08 17:40:00,0,"DWS-RQIS","NONE",5.6,34,106,19.7,0.05,4.45,2.5,21.6,0.02,1.35,,6.76,0.403,5.26,5.9,20.3,"G2H015Q01","G22H"
101975,1979-05-15 17:45:00,0,"DWS-RQIS","NONE",11.1,77.2,205,40.5,1.9,8.66,7.4,47.1,0.02,0.02,,6.85,0.765,6.76,10.3,32,"G2H015Q01","G22H"
101975,1979-05-22 16:25:00,0,"DWS-RQIS","NONE",11.1,97.3,273,49.4,0.51,11.75,9.2,58.8,0.02,3.49,,6.92,1.163,7.16,12.9,42.7,"G2H015Q01","G22H"
101975,1979-05-29 16:41:00,0,"DWS-RQIS","NONE",9.8,42.7,135,26.1,0.11,7.39,4,27.4,0.02,0.02,,6.7,0.856,6.2,2,30.5,"G2H015Q01","G22H"
101975,1979-06-12 16:35:00,0,"DWS-RQIS","NONE",29.1,159.9,462,79.3,0.2,13.15,15.1,96.1,0.02,0.34,,7.13,0.167,3.81,59.1,71.8,"G2H015Q01","G22H"
101975,1979-06-20 09:09:00,0,"DWS-RQIS","NONE",11.2,65.1,185,34,0.14,7.53,7.1,37.5,0.02,1.97,,6.76,0.366,5.47,15,26.1,"G2H015Q01","G22H"
