mon_feature_id,date_time,sample_begin_depth,institution_abbr,preservative_abbr,Ca_Diss_Water,Cl_Diss_Water,DMS_Tot_Water,EC_Phys_Water,F_Diss_Water,K_Diss_Water,Mg_Diss_Water,Na_Diss_Water,NH4_N_Diss_Water,NO3_NO2_N_Diss_Water,P_Tot_Water,pH_Diss_Water,PO4_P_Diss_Water,Si_Diss_Water,SO4_Diss_Water,TAL_Diss_Water,Station,Qat,Charge BalanceMax,ChargeBalanceMin,CHARGE BALANCE
101975,1978/01/24 13:25,0,DWS-RQIS,NONE,19,183,450,83.2,0.39,10.56,17,110,0.02,0.02,,7,0.014,2.27,31,64.8,G2H015Q01,G22H,7.400604411,7.117381869,1.950839018
101975,1978/01/31 13:00,0,DWS-RQIS,NONE,15,136,346,61.5,0.2,7.83,12,78,1.34,0.02,,6.4,0.025,4.41,4,74.6,G2H015Q01,G22H,5.401788544,5.417870904,-0.14864017
101975,1978/02/07 10:00,0,DWS-RQIS,NONE,18.1,164.5,414,75.5,0.33,11.44,15.9,89.2,0.05,0.02,,6.83,0.072,2.47,28.9,69.6,G2H015Q01,G22H,6.385006885,6.647224319,-2.012068613
101975,1978/02/14 11:10,0,DWS-RQIS,NONE,21.6,200.4,506,89.5,0.2,12.13,19.5,119.7,0.08,0.02,,7.53,0.068,2.19,38.3,76.6,G2H015Q01,G22H,8.201267454,7.987153056,1.322639219
101975,1978/02/21 15:00,0,DWS-RQIS,NONE,15,132,350,64,0.39,10.39,12.9,74.2,0.04,0.36,,7.1,0.298,3.21,24.2,64.5,G2H015Q01,G22H,5.30389615,5.547695192,-2.246666271
101975,1978/02/28 16:05,0,DWS-RQIS,NONE,30.7,219.6,612,104.7,0.35,11.19,25.5,131.4,0.05,0.07,,7.12,0.043,4.75,41.6,124.3,G2H015Q01,G22H,9.631948016,9.558588301,0.382270272
101975,1978/03/07 13:35,0,DWS-RQIS,NONE,17.6,155.4,385,71.5,0.53,9.71,14.5,87.5,0.6,0.02,,6.9,0.248,2.48,19.5,64.5,G2H015Q01,G22H,6.157239879,6.109340948,0.390483149
101975,1978/03/14 14:10,0,DWS-RQIS,NONE,14.2,102.8,297,51.2,0.38,11.19,9.5,61.5,0.39,0.98,,6.9,0.959,3.5,12.1,63.2,G2H015Q01,G22H,4.471891399,4.47768633,-0.064750885
101975,1978/03/21 12:08,0,DWS-RQIS,NONE,15.8,144.9,386,72.7,0.41,13.01,14.9,87.3,0.12,0.45,,7,0.424,4.12,23.2,67.9,G2H015Q01,G22H,6.149422787,5.964747011,1.524460849
101975,1978/04/04 11:45,0,DWS-RQIS,NONE,7.4,48.6,146,26.8,0.05,6.74,4.6,30.4,0.11,0.51,,7,0.499,5.35,5.4,31.5,G2H015Q01,G22H,2.247906888,2.138012299,2.505622748
101975,1978/04/18 12:25,0,DWS-RQIS,NONE,9.9,67.1,187,28.1,0.38,7.46,8.2,38.1,0.11,1.18,,6.7,0.406,6.43,12.1,30.2,G2H015Q01,G22H,3.022088394,2.797815176,3.853555583
101975,1978/04/25 12:07,0,DWS-RQIS,NONE,12.3,88.1,240,43.8,0.19,8.49,9.9,48.9,0.12,1.25,,6.8,0.435,6.84,15.1,40.6,G2H015Q01,G22H,3.778170322,3.651844257,1.700212888
101975,1978/05/09 12:35,0,DWS-RQIS,NONE,11,73.6,219,37.2,0.21,7.35,8.5,43.4,0.39,1.26,,6.81,0.463,5.55,9.8,47.6,G2H015Q01,G22H,3.344819634,3.275189916,1.051806919
101975,1978/05/16 12:25,0,DWS-RQIS,NONE,11.5,78.8,232,40.1,0.25,7.46,9.1,46.5,0.02,1.35,,6.85,0.366,6.9,7.9,52,G2H015Q01,G22H,3.536180359,3.470620364,0.935662331
