mon_feature_id,sample_begin_depth,Ca_Diss_Water,Cl_Diss_Water,DMS_Tot_Water,EC_Phys_Water,F_Diss_Water,K_Diss_Water,Mg_Diss_Water,Na_Diss_Water,NH4_N_Diss_Water,NO3_NO2_N_Diss_Water,P_Tot_Water,pH_Diss_Water,PO4_P_Diss_Water,Si_Diss_Water,SO4_Diss_Water,TAL_Diss_Water,Charge BalanceMax,ChargeBalanceMin,CHARGE BALANCE
101975.0,0.0,42.3,480.0,1028.0,181.2,1.67,21.33,43.2,265.5,3.102,9.218,,8.468,3.394,6.98,64.8,121.5,17.42444862,16.87919873,4.651335662
101975.0,0.0,62.8,463.7,1007.0,182.0,0.41,29.88,42.3,253.4,11.119,15.641,,9.5,4.51,7.2,50.9,207.0,16.83588718,16.52837187,4.74728826
101975.0,0.0,56.3,672.7,1435.0,263.2,0.55,17.94,59.4,388.7,11.72,10.842,,8.38,2.612,8.24,70.3,152.0,24.56509423,23.42510925,4.829757453
101975.0,0.0,46.1,621.0,1259.0,224.0,0.61,16.2,52.2,323.3,8.615,7.181,,8.22,3.363,7.01,54.2,124.2,20.92334584,21.131672,3.889629016
101975.0,0.0,26.262,134.9,424.0,72.9,1.9,24.55,12.0,91.1,3.589,7.272,,8.107,2.931,7.74,38.9,93.1,6.201588394,6.055019137,4.925197353
101975.0,0.0,31.3,460.4,1038.0,190.0,0.56,17.397,40.6,265.1,5.224,7.498,,8.3,2.904,7.22,82.8,105.1,16.52755732,16.91451297,4.677743498
101975.0,0.0,25.1,101.848,375.0,57.1,0.55,13.608,13.9,66.716,1.287,7.271,,8.14,1.889,6.76,29.7,108.9,5.440492618,5.57571096,4.898982369
101975.0,0.0,24.1,99.57,362.823,57.6,0.87,9.5,12.2,66.033,5.836,5.333,,8.054,2.242,6.849,27.86,111.4,5.050307622,5.166205749,3.832560739
101975.0,0.0,21.328,96.4,307.0,51.5,0.675,11.4,13.02,60.6,3.253,6.015,,8.45,1.237,7.12,26.4,81.922,4.605576045,4.538667951,4.100435857
101975.0,0.0,25.0,131.0,440.197,66.6,0.55,12.5,13.5,84.3,4.504,5.972,,8.13,2.02,8.8,30.2,142.7,6.082650734,6.252633946,4.110273349
101975.0,0.0,29.4,248.4,652.0,105.5,0.897,18.2,21.2,148.9,13.687,5.484,,8.4,3.117,7.104,55.1,174.6,10.01988379,10.20135925,4.824069476
101975.0,0.0,41.7,531.6,1113.0,204.8,0.503,17.88,46.4,277.1,1.339,7.697,,8.21,4.473,6.88,71.2,120.9,18.24331991,18.6631562,4.666599121
