mon_feature_id,sample_begin_depth,Ca_Diss_Water,Cl_Diss_Water,DMS_Tot_Water,EC_Phys_Water,F_Diss_Water,K_Diss_Water,Mg_Diss_Water,Na_Diss_Water,NH4_N_Diss_Water,NO3_NO2_N_Diss_Water,P_Tot_Water,pH_Diss_Water,PO4_P_Diss_Water,Si_Diss_Water,SO4_Diss_Water,TAL_Diss_Water,Charge BalanceMax,ChargeBalanceMin,CHARGE BALANCE
101975.0,0.0,6.1,23.7,94.0,18.3,0.12,3.57,3.4,15.8,0.015,0.02,,6.4,0.01,1.359,4.0,10.6,1.367780106,1.356583623,-4.085669261
101975.0,0.0,10.4,54.8,200.0,34.1,0.15,6.58,4.6,38.1,0.015,0.02,,6.7,0.034,1.665,9.4,38.4,3.062428688,2.892884926,-4.384089356
101975.0,0.0,8.901,37.743,128.323,24.2,0.1,3.983,3.999,20.613,0.02,0.02,,6.722,0.003,1.932,11.123,28.4,1.779160351,1.923017312,-4.446326674
101975.0,0.0,4.6,25.7,77.0,12.6,0.05,3.08,2.0,14.5,0.015,0.02,,6.12,0.036,2.63,2.0,19.0,1.10435376,1.161938448,-2.747482338
101975.0,0.0,5.6,25.0,92.0,15.4,0.05,1.99,2.5,12.9,0.015,0.02,,6.12,0.008,2.33,5.9,15.9,1.357876132,1.386719944,-4.830919488
101975.0,0.0,7.0,25.9,95.645,17.3,0.05,2.58,2.92,14.846,0.015,0.252,,6.6,0.017,2.79,8.253,19.9,1.394427988,1.417749566,-4.967613843
101975.0,0.0,4.1,23.0,72.0,13.0,0.1,1.79,3.2,14.8,0.015,0.02,,6.64,0.003,2.765,7.3,13.2,1.158232687,1.078423268,-4.363881954
101975.0,0.0,4.5,18.0,56.0,10.6,0.05,1.07,2.1,8.9,0.02,0.025,,6.3,0.005,0.2,7.0,9.4,0.815045104,0.89903578,-4.905164538
101975.0,0.0,6.4,31.4,101.0,18.0,0.1,2.33,3.7,17.9,0.015,0.211,,6.12,0.024,2.83,8.0,19.4,1.520797282,1.495457009,-4.393385209
101975.0,0.0,3.7,27.8,87.0,15.2,0.05,2.72,3.6,17.8,0.015,0.27,,6.19,0.046,0.93,2.0,16.2,1.362519159,1.303987468,-3.827986736
101975.0,0.0,6.5,41.4,129.0,28.3,0.11,4.35,4.8,27.2,0.02,0.055,,6.155,0.144,1.648,9.8,22.8,2.015890925,1.878797611,-4.429568396
101975.0,0.0,8.1,49.5,140.0,29.9,0.11,3.8,5.8,30.3,0.015,0.07,,6.6,0.011,1.323,7.5,24.9,2.313506302,2.155519146,-3.655428615
