Month,mon_feature_id,sample_begin_depth,Ca_Diss_Water,Cl_Diss_Water,DMS_Tot_Water,EC_Phys_Water,F_Diss_Water,K_Diss_Water,KJEL_N_Tot_Water,Mg_Diss_Water,Na_Diss_Water,NH4_N_Diss_Water,NO3_NO2_N_Diss_Water,P_Tot_Water,pH_Diss_Water,PO4_P_Diss_Water,Si_Diss_Water,SO4_Diss_Water,TAL_Diss_Water
January,101979.0,0.0,12.136238095238095,43.73445238095238,152.2854054054054,24.58734939759037,0.1781,2.686634146341464,,5.943738095238096,26.20230769230769,0.2215952380952381,0.301829268292683,,7.275488372093023,0.0470238095238095,5.520857142857143,9.749190476190476,44.71388095238095
February,101979.0,0.0,11.44255,34.981575,129.54730555555554,22.18797619047619,0.1704210526315789,3.7749743589743594,,4.287225,21.858487179487177,0.206775,0.4825641025641026,,7.200200000000001,0.049975,4.5159,8.0452,36.24273684210526
March,101979.0,0.0,9.919926829268292,37.6490731707317,124.5960810810811,21.287926829268294,0.2094102564102564,3.3571,,4.6231,22.69625,0.4817560975609755,0.2822682926829268,,7.173809523809524,0.1714146341463414,4.990390243902439,9.686925,37.11948780487805
April,101979.0,0.0,11.888171428571429,35.50825714285714,145.42540625,20.908359999999995,0.1501470588235294,3.359060606060606,,4.701571428571427,23.19478125,0.1067428571428571,0.1966857142857143,,7.127457142857142,0.0343714285714285,4.359428571428572,7.820685714285716,46.45794444444445
May,101979.0,0.0,10.176066666666664,35.99929032258064,129.4248275862069,21.204,0.1518333333333333,2.262806451612903,,4.83825806451613,21.535709677419355,0.1153548387096774,0.2049354838709677,,7.0482258064516135,0.0273225806451612,4.590451612903226,9.518225806451612,37.40751612903225
June,101979.0,0.0,10.094205128205129,38.87397435897435,129.63755555555556,22.82156626506024,0.1471388888888889,2.6296315789473685,,5.335846153846154,21.772324324324323,0.4051052631578948,0.9591351351351352,,7.284333333333334,0.1002368421052631,4.843473684210526,11.645948717948718,30.957421052631588
July,101979.0,0.0,9.900472222222223,34.12705555555556,125.4495625,20.183875,0.1392058823529411,2.702558823529412,,4.370638888888888,21.07808823529412,0.1969166666666666,0.2031764705882353,,7.290694444444445,0.0538888888888888,3.9241944444444448,7.048666666666667,38.72836111111111
August,101979.0,0.0,12.094216216216218,46.00391891891892,155.3624411764706,25.406,0.2077428571428571,2.583388888888889,,6.475702702702702,26.90822222222222,0.1278378378378378,0.2884285714285714,,7.329432432432432,0.0243243243243243,5.771837837837838,11.587000000000002,42.82197297297297
September,101979.0,0.0,9.61868181818182,35.23472727272728,117.84917073170732,19.38488095238095,0.1595,2.347837209302325,,4.484136363636365,19.820690476190475,0.0680454545454545,0.3232093023255813,,7.17659090909091,0.0406136363636363,4.336409090909092,10.477465116279069,27.82936363636363
October,101979.0,0.0,10.50263157894737,33.10194871794871,131.70169696969697,21.663333333333327,0.1791944444444444,3.062973684210527,,4.456051282051281,20.162702702702703,0.1352820512820513,0.1341891891891891,,7.086974358974359,0.0299473684210526,4.082179487179487,8.173615384615383,41.6906923076923
November,101979.0,0.0,10.812823529411766,42.71265714285713,149.0075588235294,24.78121621621621,0.1540285714285714,2.579571428571429,,6.269857142857143,24.887657142857144,0.0552857142857142,0.4039142857142858,,7.314114285714284,0.0344,5.060228571428572,12.257771428571427,39.6482
December,101979.0,0.0,10.374868421052632,39.77044736842105,136.11628571428574,22.09963414634146,0.2080555555555555,2.505081081081081,0.34,5.065157894736841,23.52181081081081,0.0992105263157894,0.3528333333333334,0.071,7.273052631578946,0.0269473684210526,4.728052631578948,10.425973684210527,35.99389473684211
