mon_feature_id,sample_begin_depth,Ca_Diss_Water,Cl_Diss_Water,DMS_Tot_Water,EC_Phys_Water,F_Diss_Water,K_Diss_Water,KJEL_N_Tot_Water,Mg_Diss_Water,Na_Diss_Water,NH4_N_Diss_Water,NO3_NO2_N_Diss_Water,P_Tot_Water,pH_Diss_Water,PO4_P_Diss_Water,Si_Diss_Water,SO4_Diss_Water,TAL_Diss_Water
101979.0,0.0,26.2,70.7,383.788,93.0,0.406,10.8,,12.7,63.8,3.62,2.92,,8.64,0.624,7.65,20.4,168.7
101979.0,0.0,27.8,75.8,308.652,48.0,0.453,11.2,,12.9,53.3,1.32,2.891,,8.22,0.255,9.09,15.67,116.7
101979.0,0.0,25.3,72.5,285.0,43.0,0.671,10.169,,9.6,44.0,0.938,0.972,,8.0,0.146,8.0,27.422,98.0
101979.0,0.0,33.9,98.5,352.0,72.0,0.772,33.66,,8.2,61.8,3.06,11.54,,8.2,0.441,7.9,21.804,158.6
101979.0,0.0,22.361,108.014,235.0,70.3,1.78,17.036,,11.7,79.719,10.777,4.193,,8.16,4.722,8.23,33.037,118.814
101979.0,0.0,25.518,82.6,279.245,43.4,0.38,5.569,,11.2,48.1,0.392,1.082,,8.42,0.252,6.836,23.9,97.646
101979.0,0.0,17.038,79.3,278.0,83.2,0.48,8.09,,12.618,39.1,10.99,20.55,,8.5,2.647,7.424,34.6,70.918
101979.0,0.0,20.8,65.001,226.57,47.6,0.501,5.46,0.34,9.0,37.965,1.06,1.131,0.071,8.1,0.09,6.79,23.6,69.943
101979.0,0.0,17.022,62.089,226.538,53.9,0.322,5.979,,12.149,35.911,0.195,1.26,,8.102,0.154,13.08,22.965,78.059
101979.0,0.0,21.694,72.3,254.037,55.9,0.932,4.587,,11.271,39.645,1.302,1.02,,8.1,0.066,6.891,22.632,88.132
101979.0,0.0,26.4,108.2,355.314,58.8,0.778,8.0,,13.552,65.845,4.537,1.533,,8.5,0.244,7.979,20.776,127.5
101979.0,0.0,28.164,89.22,344.856,60.0,0.449,5.585,,12.627,54.97,1.698,0.985,,8.33,0.118,8.252,22.2,117.363
