mon_feature_id,sample_begin_depth,Ca_Diss_Water,Cl_Diss_Water,DMS_Tot_Water,EC_Phys_Water,F_Diss_Water,K_Diss_Water,KJEL_N_Tot_Water,Mg_Diss_Water,Na_Diss_Water,NH4_N_Diss_Water,NO3_NO2_N_Diss_Water,P_Tot_Water,pH_Diss_Water,PO4_P_Diss_Water,Si_Diss_Water,SO4_Diss_Water,TAL_Diss_Water
101979.0,0.0,2.5,11.1,38.0,6.6,0.025,0.77,,1.1,7.2,0.02,0.02,,4.96,0.003,0.92,0.6,9.8
101979.0,0.0,3.3,13.9,55.0,8.0,0.05,0.99,,1.6,9.1,0.02,0.02,,5.54,0.005,1.81,0.6,9.5
101979.0,0.0,3.9,12.0,54.0,7.9,0.025,0.85,,1.8,7.189,0.02,0.02,,4.595,0.003,1.784,1.5,11.9
101979.0,0.0,3.1,12.1,43.0,7.0,0.05,0.81,,1.0,6.8,0.015,0.02,,5.3,0.003,1.638,0.6,9.0
101979.0,0.0,3.1,13.19,49.907,5.6,0.05,0.91,,0.5,7.091,0.02,0.02,,5.9,0.003,0.5,2.0,8.9
101979.0,0.0,2.189,7.9,25.0,3.6,0.05,0.62,,0.5,3.6,0.015,0.02,,5.8,0.003,1.0,2.0,2.0
101979.0,0.0,3.5,17.1,56.0,9.1,0.05,1.13,,1.7,10.4,0.02,0.02,,5.92,0.003,2.91,1.5,4.0
101979.0,0.0,2.4,11.9,48.0,7.0,0.05,0.57,0.34,1.0,8.0,0.02,0.02,0.071,5.78,0.003,1.87,0.375,4.0
101979.0,0.0,2.8,15.4,54.0,8.2,0.05,0.15,,1.1,10.5,0.02,0.02,,5.75,0.003,1.131,1.5,6.4
101979.0,0.0,5.1,16.5,70.0,8.8,0.05,0.98,,2.1,10.772,0.015,0.02,,6.06,0.003,3.434,4.9,14.209
101979.0,0.0,2.5,11.6,40.0,6.8,0.025,0.61,,1.1,7.2,0.015,0.02,,5.65,0.003,2.15,2.0,9.4
101979.0,0.0,1.4,7.8,24.0,4.5,0.05,0.6,,0.5,5.8,0.015,0.02,,4.87,0.003,1.49,2.0,5.7
