date_time,Year,Month,Day,Ca_Diss_Water,Cl_Diss_Water,DMS_Tot_Water,EC_Phys_Water,F_Diss_Water,K_Diss_Water,Mg_Diss_Water,Na_Diss_Water,NH4_N_Diss_Water,NO3_NO2_N_Diss_Water,pH_Diss_Water,PO4_P_Diss_Water,Si_Diss_Water,SO4_Diss_Water,TAL_Diss_Water
1981/09/02 16:25,1981,09,02,2.3,9.2,43.0,6.3,0.2,0.6,0.5,6.6,0.1,0.0,5.5,0.0,3.0,9.6,11.7
1981/09/09 17:30,1981,09,09,2.2,8.7,41.0,5.5,0.2,0.5,0.5,8.6,0.0,0.0,5.6,0.0,2.4,11.8,7.3
1981/09/16 15:35,1981,09,16,1.0,9.2,42.0,5.8,0.4,0.4,0.5,5.6,0.0,0.1,5.7,0.0,2.1,9.7,12.1
1981/09/23 15:10,1981,09,23,,,,4.7,,,,,,,,,,,
1981/09/30 16:35,1981,09,30,,,,4.6,,,,,,,,,,,
1981/10/07 16:10,1981,10,07,8.2,12.8,89.0,10.2,0.2,0.7,1.2,17.9,0.0,0.0,6.4,0.0,8.1,13.1,28.7
1981/10/14 14:50,1981,10,14,2.2,10.6,56.0,6.9,0.2,0.9,1.6,13.4,0.0,0.0,6.0,0.0,4.4,9.7,14.0
1981/10/21 14:35,1981,10,21,7.0,12.1,60.0,7.2,0.1,0.8,0.5,9.2,0.0,0.0,6.0,0.0,4.5,9.8,16.2
1981/10/28 13:35,1981,10,28,9.3,16.9,77.0,10.3,0.2,1.2,1.7,8.8,0.0,0.1,6.2,0.0,6.1,7.4,25.4
1981/11/09 13:30,1981,11,09,9.8,13.5,74.0,10.7,0.1,1.5,1.0,8.6,0.1,0.4,6.0,0.0,5.5,6.0,25.8
1981/11/11 14:00,1981,11,11,10.0,10.1,80.0,11.8,0.2,5.0,1.7,7.8,0.0,0.8,6.3,0.0,4.9,6.9,28.5
1981/11/18 12:40,1981,11,18,2.3,8.0,38.0,5.1,0.1,0.8,0.5,6.2,0.0,0.0,5.8,0.0,2.3,8.4,9.2
1981/12/02 13:15,1981,12,02,9.7,10.6,79.0,11.4,0.1,4.7,1.1,6.9,0.0,0.1,6.2,0.0,5.4,11.8,27.5
1981/12/09 12:35,1981,12,09,12.8,12.2,95.0,12.2,0.2,4.8,1.2,6.8,0.0,0.1,7.2,0.0,5.0,11.6,37.2
1981/12/16 14:45,1981,12,16,9.9,11.0,64.0,10.4,0.2,2.3,1.1,8.2,0.1,0.2,7.2,0.0,4.0,2.0,24.1
1982/01/06 11:56,1982,01,06,16.4,18.4,98.0,15.5,0.1,1.6,2.2,9.3,0.0,0.3,7.1,0.0,1.9,2.0,39.0
