Year,Month,Ca_Diss_Water,Cl_Diss_Water,DMS_Tot_Water,EC_Phys_Water,F_Diss_Water,K_Diss_Water,Mg_Diss_Water,Na_Diss_Water,NH4_N_Diss_Water,NO3_NO2_N_Diss_Water,pH_Diss_Water,PO4_P_Diss_Water,Si_Diss_Water,SO4_Diss_Water,TAL_Diss_Water
2007.0,1.0,16.4,18.4,98.0,15.5,0.4,2.8,2.5,9.3,0.1,0.3,7.6,0.0,6.0,10.5,39.0
2018.0,2.0,13.2,31.7,82.0,17.2,0.4,3.4,2.6,22.2,0.1,0.5,8.0,0.1,4.0,12.9,36.0
2009.0,3.0,7.0,21.2,70.0,11.4,0.3,3.1,2.7,12.1,0.1,0.5,7.6,0.1,4.4,15.4,22.1
2006.0,4.0,9.8,20.4,89.0,14.1,0.5,2.8,3.1,14.0,0.1,0.3,7.5,0.3,4.8,19.9,27.1
2005.0,5.0,8.9,16.1,58.0,10.2,0.4,2.7,2.2,8.6,0.6,0.2,8.0,0.0,8.1,12.3,25.9
2009.0,6.0,9.3,22.4,69.0,11.6,0.3,2.2,2.1,11.0,0.1,0.7,7.8,0.1,4.1,17.1,27.4
2006.0,7.0,8.0,13.7,67.0,9.8,0.4,0.8,2.0,7.3,0.1,0.3,7.9,0.2,4.7,7.6,27.1
2009.0,8.0,9.1,18.9,62.0,11.2,0.4,1.6,2.3,9.3,0.1,0.3,8.0,0.0,4.1,11.6,20.3
2009.0,9.0,27.5,24.4,288.0,40.1,0.5,6.2,13.0,27.2,0.5,0.4,8.3,0.1,4.5,21.2,136.4
2004.0,10.0,9.3,18.5,89.0,11.1,0.6,1.6,3.0,17.9,0.1,0.4,8.0,0.1,8.1,13.1,28.7
2009.0,11.0,10.0,23.9,80.0,12.8,0.3,5.0,2.2,10.4,0.4,0.8,7.7,0.1,5.5,12.1,28.5
2009.0,12.0,12.8,20.7,95.0,12.2,0.5,4.8,2.5,12.1,0.4,0.6,7.7,0.1,5.4,11.8,37.2
