Year,Month,Day,Ca_Diss_Water,Cl_Diss_Water,DMS_Tot_Water,EC_Phys_Water,F_Diss_Water,K_Diss_Water,Mg_Diss_Water,Na_Diss_Water,NH4_N_Diss_Water,NO3_NO2_N_Diss_Water,pH_Diss_Water,PO4_P_Diss_Water,Si_Diss_Water,SO4_Diss_Water,TAL_Diss_Water,Positive,Negative,Final,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27
2007.0,1.0,31.0,16.4,18.4,98.0,15.5,0.4,2.8,2.2,9.3,0.1,0.3,7.4,0.0,3.6,10.5,39.0,1.444293613,1.350035036,4.78753289,,,,,,
2006.0,2.0,28.0,13.2,16.9,82.0,12.1,0.4,1.7,2.3,9.0,0.1,0.5,8.0,0.0,2.7,6.1,36.0,1.15390946,1.09231186,3.915176689,,,,,,
2009.0,3.0,30.0,7.0,21.2,70.0,11.4,0.2,3.1,2.7,12.1,0.1,0.5,7.6,0.0,2.8,10.1,19.8,0.986022133,1.012590121,3.949215329,,,,,,
2006.0,4.0,30.0,9.8,17.0,71.0,11.0,0.3,2.2,3.1,8.9,0.1,0.3,7.5,0.3,4.4,8.0,27.1,1.045366101,0.965609966,4.547494986,,,,,,
2005.0,5.0,31.0,6.5,14.8,56.1,10.2,0.2,1.8,2.2,8.5,0.6,0.2,7.7,0.0,5.0,8.1,21.2,0.83320724,0.838127926,4.680097841,,,,,,
2009.0,6.0,30.0,9.3,22.4,69.0,11.6,0.2,2.2,2.1,11.0,0.1,0.7,7.6,0.0,4.1,17.1,27.4,0.927799015,0.971841956,3.337468301,,,,,,
2006.0,7.0,30.0,4.2,13.7,45.0,8.4,0.1,0.8,1.8,7.3,0.1,0.3,7.9,0.0,4.2,5.2,14.8,0.663633093,0.65480196,4.43245358,,,,,,
2005.0,8.0,31.0,5.8,15.3,55.0,9.7,0.4,1.5,1.7,9.3,0.1,0.3,7.4,0.0,3.7,7.3,19.1,0.794024755,0.817183407,4.153133944,,,,,,
2003.0,9.0,28.0,27.5,24.4,288.0,40.1,0.3,6.2,13.0,27.2,0.5,0.2,8.3,0.1,4.5,21.2,136.4,3.810484168,3.878704194,4.696346001,,,,,,
2003.0,10.0,31.0,8.2,18.5,89.0,11.1,0.2,1.4,2.3,17.9,0.1,0.4,7.3,0.0,8.1,13.1,28.7,1.303906671,1.21772237,4.711603126,,,,,,
2004.0,11.0,29.0,10.0,14.4,80.0,11.8,0.2,5.0,2.2,8.6,0.4,0.8,7.5,0.0,5.5,7.8,28.5,1.105678485,1.032866388,4.95604829,,,,,,
2009.0,12.0,31.0,6.3,20.7,57.0,11.0,0.4,2.1,2.5,12.1,0.2,0.6,7.7,0.1,3.5,8.7,18.1,0.861238907,0.857928977,3.864933283,,,,,,
