Year,Month,Ca_Diss_Water,Cl_Diss_Water,DMS_Tot_Water,EC_Phys_Water,F_Diss_Water,K_Diss_Water,Mg_Diss_Water,Na_Diss_Water,NH4_N_Diss_Water,NO3_NO2_N_Diss_Water,pH_Diss_Water,PO4_P_Diss_Water,Si_Diss_Water,SO4_Diss_Water,TAL_Diss_Water
1982.0,1.0,1.4,5.0,21.0,4.6,0.1,0.3,0.5,4.5,0.0,0.0,4.7,0.0,0.4,2.0,2.0
1982.0,2.0,1.3,8.0,33.0,5.1,0.0,0.4,1.0,4.7,0.0,0.0,4.7,0.0,0.3,2.0,2.0
1982.0,3.0,1.6,8.9,29.5,1.3,0.1,0.5,0.5,4.3,0.0,0.0,4.9,0.0,0.6,1.5,2.0
1982.0,4.0,0.5,6.1,22.0,4.6,0.1,0.3,1.0,3.1,0.0,0.0,4.8,0.0,0.8,2.0,2.0
1982.0,5.0,0.5,5.2,18.0,4.1,0.1,0.4,0.5,2.1,0.0,0.0,4.5,0.0,1.1,2.0,2.0
1982.0,6.0,0.5,5.5,17.0,3.2,0.1,0.2,0.5,2.8,0.0,0.0,4.3,0.0,0.9,2.0,2.0
1983.0,7.0,0.5,5.0,17.0,3.0,0.1,0.2,0.5,2.1,0.0,0.0,4.0,0.0,0.8,2.0,2.0
1986.0,8.0,0.5,5.6,19.0,3.7,0.1,0.2,0.5,2.3,0.0,0.0,4.7,0.0,0.1,1.5,2.0
1981.0,9.0,0.5,5.0,15.0,3.5,0.1,0.2,0.5,2.5,0.0,0.0,4.3,0.0,0.2,2.0,2.0
1981.0,10.0,0.5,4.8,17.0,3.5,0.1,0.2,0.5,3.7,0.0,0.0,4.5,0.0,0.6,2.0,2.0
1981.0,11.0,0.5,5.5,21.0,4.0,0.1,0.4,0.5,4.2,0.0,0.0,4.5,0.0,0.2,2.0,2.0
1981.0,12.0,0.5,7.2,26.0,4.6,0.1,0.4,0.5,4.9,0.0,0.0,4.4,0.0,0.4,1.5,2.0
